"Wilshire 5000 (Full Cap) Total Market",""
"Index Dates","Period Return","Index Values"
"19950103","","13.4488000"
"19950104","0.35","13.4961400"
"19950105","-0.03","13.4926200"
"19950106","0.19","13.5189200"
"19950109","0.10","13.5328900"
"19950110","0.20","13.5598600"
"19950111","-0.07","13.5500400"
"19950112","0.04","13.5552200"
"19950113","0.88","13.6748100"
"19950116","0.82","13.7866300"
"19950117","0.24","13.8195800"
"19950118","-0.13","13.8015300"
"19950119","-0.53","13.7277100"
"19950120","-0.48","13.6614100"
"19950123","0.01","13.6627400"
"19950124","0.17","13.6859000"
"19950125","0.21","13.7152700"
"19950126","0.05","13.7225800"
"19950127","0.41","13.7791200"
"19950130","-0.43","13.7204700"
"19950131","0.43","13.7794800"
"19950201","0.11","13.7943500"
"19950202","0.48","13.8604400"
"19950203","1.23","14.0310800"
"19950206","0.63","14.1194800"
"19950207","-0.04","14.1141300"
"19950208","0.16","14.1362200"
"19950209","-0.07","14.1258100"
"19950210","0.25","14.1617300"
"19950213","0.05","14.1692300"
"19950214","0.11","14.1847000"
"19950215","0.51","14.2573000"
"19950216","-0.04","14.2519200"
"19950217","-0.54","14.1754200"
"19950221","-0.02","14.1723700"
"19950222","0.42","14.2323900"
"19950223","0.47","14.2987400"
"19950224","0.19","14.3256300"
"19950227","-0.80","14.2106700"
"19950228","0.83","14.3283400"
"19950301","-0.28","14.2877600"
"19950302","-0.11","14.2722700"
"19950303","0.15","14.2933600"
"19950306","-0.11","14.2779000"
"19950307","-0.73","14.1740100"
"19950308","0.23","14.2064600"
"19950309","0.07","14.2159100"
"19950310","1.13","14.3762100"
"19950313","0.10","14.3907400"
"19950314","0.57","14.4723100"
"19950315","-0.15","14.4502200"
"19950316","0.58","14.5346800"
"19950317","-0.05","14.5271500"
"19950320","0.11","14.5429500"
"19950321","-0.22","14.5108300"
"19950322","0.06","14.5192200"
"19950323","0.10","14.5332300"
"19950324","0.94","14.6702000"
"19950327","0.51","14.7446500"
"19950328","0.17","14.7690000"
"19950329","-0.14","14.7481800"
"19950330","-0.05","14.7406400"
"19950331","-0.23","14.7060200"
"19950403","0.13","14.7250000"
"19950404","0.49","14.7964400"
"19950405","0.11","14.8128100"
"19950406","0.08","14.8250100"
"19950407","-0.02","14.8227400"
"19950410","0.26","14.8617900"
"19950411","-0.15","14.8394800"
"19950412","0.35","14.8914800"
"19950413","0.36","14.9457300"
"19950417","-0.50","14.8714300"
"19950418","-0.31","14.8255400"
"19950419","-0.27","14.7854000"
"19950420","0.18","14.8115600"
"19950421","0.53","14.8900100"
"19950424","0.73","14.9985900"
"19950425","-0.07","14.9873900"
"19950426","0.15","15.0103600"
"19950427","0.21","15.0423100"
"19950428","0.19","15.0714000"
"19950501","-0.10","15.0562800"
"19950502","0.10","15.0712700"
"19950503","0.95","15.2149700"
"19950504","-0.08","15.2034000"
"19950505","-0.07","15.1930800"
"19950508","0.67","15.2953400"
"19950509","0.08","15.3073100"
"19950510","0.17","15.3328800"
"19950511","0.24","15.3701200"
"19950512","0.25","15.4078700"
"19950515","0.45","15.4765000"
"19950516","0.15","15.5003200"
"19950517","-0.19","15.4707600"
"19950518","-1.26","15.2759200"
"19950519","-0.05","15.2675300"
"19950522","0.76","15.3830600"
